"Actinobacillus succinogenes 130Z",0,23578,0
"Alkalilimnicola ehrlichei MLHE-1",0,32282,0
"Alkaliphilus metalliredigens QYMF",0,37059,0
"Anabaena variabilis ATCC 29413",0,63389,0
"Anaeromyxobacter dehalogenans 2CP-C",0,49216,0
"Arthrobacter sp. FB24",0,50490,0
"Azotobacter vinelandii DJ, ATCC BAA-1303",0,49116,0
"Bacillus cereus 03BB102",0,58546,0
"Bifidobacterium longum DJO10A",0,19816,0
"Bradyrhizobium sp. BTAi1",0,756312,0
"Brevibacillus brevis NBRC 100599",0,51515,0
"Burkholderia ambifaria MC40-6",0,71271,0
"Burkholderia cenocepacia AU 1054",0,70065,0
"Burkholderia cenocepacia HI2424",0,74402,0
"Burkholderia cepacia 383",0,98356,0
"Burkholderia vietnamiensis G4",0,83177,0
"Burkholderia xenovorans LB400",0,80049,0
"Caldicellulosiruptor saccharolyticus DSM 8903",0,32496,0
"Chelativorans sp. BNC1",0,39196,0
"Chlorobium chlorochromatii CaD3",0,20178,0
"Chlorobium limicola DSM 245",0,26036,0
"Chlorobium phaeobacteroides DSM 266",0,25723,0
"Chloroflexus aurantiacus J-10-fl",0,54408,0
"Chromohalobacter salexigens 1H11, DSM 3043",0,28965,0
"Clostridium beijerinckii NCIMB 8052",0,61979,0
"Clostridium thermocellum ATCC 27405",0,33915,0
"Cronobacter turicensis",0,50148,0
"Cytophaga hutchinsonii ATCC 33406",0,339344,0
"Dechloromonas aromatica RCB",0,36800,0
"Deinococcus geothermalis DSM 11300",0,32831,0
"Desulfobacterium autotrophicum HRM2, DSM 3382",0,54334,0
"Desulfovibrio alaskensis G20",0,36251,0
"Ehrlichia canis Jake",0,11007,0
"Ehrlichia chaffeensis Arkansas",0,12444,0
"Enterococcus faecalis V583",0,25177,0
"Exiguobacterium sibiricum 255-15, DSM 17290",0,28061,0
"Fervidobacterium nodosum Rt17-B1",0,17586,0
"Frankia sp. CcI3",0,50070,0
"Frankia sp. EAN1pec",0,83448,0
"Geobacter metallireducens GS-15",0,39439,0
"Histophilus somni 129PT",0,16259,0
"Jannaschia sp. CCS1",0,43751,0
"Kineococcus radiotolerans SRS30216",0,48364,0
"Lactobacillus brevis ATCC 367",0,14202,0
"Lactobacillus casei ATCC 334",0,26228,0
"Lactobacillus delbrueckii bulgaricus ATCC BAA-365",0,12616,0
"Lactobacillus gasseri ATCC 33323",0,17145,0
"Lactococcus lactis cremoris MG1363",0,19510,0
"Leuconostoc mesenteroides mesenteroides ATCC 8293",0,16083,0
"Magnetococcus sp. MC-1",0,36669,0
"Marinobacter aquaeolei VT8",0,46193,0
"Methanococcoides burtonii DSM 6242",0,20320,0
"Methanosarcina barkeri Fusaro, DSM 804",0,29663,0
"Methanospirillum hungatei JF-1",0,33032,0
"Methylobacillus flagellatus KT",0,29518,0
"Moorella thermoacetica ATCC 39073",0,50911,0
"Nitrobacter hamburgensis X14",0,45573,0
"Nitrobacter winogradskyi Nb-255",0,32401,0
"Nitrosococcus oceani C-107, ATCC 19707",0,31954,0
"Nitrosomonas eutropha C91",0,25834,0
"Nitrosospira multiformis ATCC 25196",0,30923,0
"Nocardioides sp. JS614",0,51826,0
"Novosphingobium aromaticivorans DSM 12444",0,42967,0
"Oenococcus oeni PSU-1",0,11015,0
"Paracoccus denitrificans PD1222",0,42407,0
"Pediococcus pentosaceus ATCC 25745",0,13717,0
"Pedobacter heparinus HIM 762-3, DSM 2366",0,42521,0
"Pelobacter carbinolicus DSM 2380",0,34089,0
"Pelobacter propionicus DSM 2379",0,40662,0
"Pelodictyon phaeoclathratiforme BU-1",0,27650,0
"Polaromonas sp. JS666",0,58784,0
"Prochlorococcus marinus MIT 9312",0,13577,0
"Prochlorococcus marinus NATL2A",0,19872,0
"Prosthecochloris aestuarii SK413, DSM 271",0,20103,0
"Pseudoalteromonas atlantica T6c",0,49007,0
"Pseudomonas fluorescens Pf0-1",0,52554,0
"Pseudomonas putida F1",0,57587,0
"Pseudomonas syringae pv. syringae B728a",0,60519,0
"Psychrobacter arcticus 273-4",0,19190,0
"Psychrobacter cryohalolentis K5",0,33875,0
"Rhodobacter sphaeroides KD131",0,30743,0
"Rhodoferax ferrireducens T118",0,49590,0
"Rhodopseudomonas palustris BisA53",0,50486,0
"Rhodopseudomonas palustris BisB18",0,61249,0
"Rhodopseudomonas palustris BisB5",0,47683,0
"Rhodopseudomonas palustris HaA2",0,2135928,0
"Rhodospirillum rubrum S1, ATCC 11170",0,41994,0
